country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Guinea,1340,1340,1350,1380,1390,1420,1450,1480,1500,1520,1520,1540,1590,1580,1580,1600,1580,1650,1680,1630,1670
Guinea-Bissau,1630,1680,1660,1660,1670,1710,1870,1950,1380,1370,1410,1410,1370,1340,1350,1370,1370,1380,1390,1400,1430
Guyana,2880,3050,3260,3500,3780,3960,4270,4560,4500,4660,4620,4730,4790,4760,4830,4730,4970,5320,5420,5610,5830
Haiti,2110,2110,1960,1820,1570,1700,1730,1750,1760,1770,1760,1710,1680,1660,1570,1570,1580,1610,1600,1620,1510
Honduras,3210,3010,3110,3220,3140,3240,3200,3260,3280,3160,3300,3300,3340,3410,3530,3660,3810,3950,4030,3850,3910
Hungary,17200,15200,14700,14600,15100,15300,15400,15900,16600,17200,18000,18700,19600,20400,21500,22500,23400,23500,23700,22200,22400
Iceland,30100,29700,28300,28400,29100,29000,30200,31000,32900,33800,35000,35800,35800,36300,38900,40700,41800,44600,44700,41500,40100
India,1910,1890,1950,2000,2100,2210,2330,2380,2490,2660,2710,2790,2850,3020,3210,3410,3630,3850,3910,4160,4450
Indonesia,4630,4860,5090,5330,5640,6010,6390,6590,5650,5610,5810,5940,6120,6330,6560,6840,7120,7470,7820,8070,8460
Iran,11400,12500,12600,12500,12200,12300,12700,12600,12700,12700,13200,13200,14000,15000,15500,15800,16400,17500,17400,17300,18100
Iraq,11600,4050,5210,6600,6650,6580,7080,8320,10900,12400,12200,12100,11000,7130,10700,10900,11800,11800,12500,12700,13200
Ireland,21700,22000,22500,23000,24300,26500,28300,31000,33400,36500,39400,40800,42500,43100,45100,46600,47600,48700,45700,42900,43500
Israel,20700,21000,21900,22200,23200,24100,24700,25100,25400,25500,26800,26200,25700,25400,26100,26600,27600,28700,29000,28600,29700
Italy,31100,31600,31800,31600,32200,33200,33600,34200,34700,35200,36500,37200,37200,37100,37400,37600,38200,38600,38000,35700,36200
Jamaica,7300,7590,7670,8320,8350,8460,8370,8190,7930,7940,7940,7990,8090,8340,8400,8430,8630,8710,8590,8180,8020
Japan,30600,31500,31700,31500,31700,32400,33300,33600,33200,33000,33900,33900,33900,34300,35100,35700,36100,36700,36300,34300,35800
Jordan,6290,6070,6810,6740,6750,6880,6810,6870,6940,7050,7220,7460,7750,7900,8350,8740,9090,9420,9630,9660,9390
Kazakhstan,13100,11500,10900,10000,8870,8280,8450,8730,8720,9040,9950,11300,12400,13500,14700,16000,17500,18900,19300,19000,20100
Kenya,2350,2300,2210,2150,2140,2170,2200,2140,2150,2140,2100,2120,2070,2080,2120,2190,2270,2360,2300,2310,2440
Kiribati,1940,1910,1900,1890,1900,1870,1880,1880,1970,1910,1990,1930,1970,1970,1900,1960,1920,1910,1830,1800,1750
Kuwait,40100,24300,46700,67200,77300,81300,80700,78700,76200,70200,70100,68700,69600,80700,87900,93700,96400,96800,93600,81900,75400
Kyrgyz Republic,3480,3150,2680,2270,1810,1700,1790,1940,1950,1990,2080,2160,2140,2270,2400,2370,2420,2600,2790,2840,2790
Lao,1710,1730,1780,1840,1940,2030,2120,2220,2270,2390,2490,2590,2700,2820,2960,3120,3330,3520,3740,3950,4220
Latvia,14600,12900,8860,8000,8320,8280,8580,9440,10100,10500,11200,12100,13100,14300,15700,17500,19800,21900,21400,18600,18300
Lebanon,5580,8010,8850,9290,9580,9840,10700,10700,11000,10700,10600,10600,10500,10300,10500,10500,10600,11500,12600,13700,14400
Lesotho,1300,1360,1420,1440,1490,1510,1570,1600,1600,1590,1640,1690,1710,1800,1840,1910,2000,2100,2240,2290,2420
Liberia,957,932,654,472,393,389,413,791,952,1080,1320,1310,1330,910,916,940,982,1030,1060,1080,1100
Libya,22800,25700,24400,23000,22900,22000,22400,23200,21800,21500,21900,21200,20700,23000,23600,26000,27300,28600,29000,28400,29500
Lithuania,15600,14600,11500,9720,8830,9360,9910,10800,11700,11700,12200,13100,14100,15700,16900,18500,20200,22700,23600,20300,21100
Luxembourg,57600,61800,62100,63800,65300,65400,65400,68200,71500,76500,81700,82800,85000,85400,87200,88600,91700,97900,94900,89100,91700
Madagascar,1650,1500,1480,1460,1420,1400,1390,1390,1400,1420,1440,1480,1260,1340,1370,1390,1420,1460,1520,1420,1390
Malawi,747,795,731,799,715,826,871,883,892,894,884,819,813,839,862,868,884,942,986,1040,1080
Malaysia,10600,11300,11900,12800,13600,14600,15700,16400,14800,15300,16300,16000,16500,17200,18000,18600,19200,20000,20600,19900,21000
Maldives,6380,6680,6900,7140,7430,7780,8230,8760,9250,9640,9800,9190,9590,10600,10900,9250,11400,12000,12800,11500,12000
Mali,1270,1390,1320,1320,1340,1310,1370,1400,1470,1510,1470,1640,1640,1740,1710,1760,1790,1790,1810,1840,1880
Malta,16200,16700,17300,17900,18800,19800,20400,21300,22300,23200,24600,24600,25100,25600,25500,26300,26700,27700,28400,27500,28300
Marshall Islands,2910,2840,3000,3140,3300,3550,3180,2980,2900,2830,2970,3090,3120,3060,3000,3050,3060,3160,3100,3050,3240
Mauritania,2800,2780,2760,2850,2690,2880,2970,2780,2780,2920,2830,2810,2760,2840,2920,3090,3570,3570,3500,3370,3430
Mauritius,7580,7830,8230,8550,8780,9080,9490,9900,10400,10500,11300,11600,11700,12300,12700,12900,13400,14100,14900,15300,15900
